"","k1","k2","h_r","h_w","h_s","h_a"
"1",0.753605002835393,0.00585476944915717,0.316214023872744,0.364929983757902,0.159752034719568,0.349855474438518
"2",0.750959945656359,0.0056439889544039,0.348026315788738,0.353395502571948,0.154602812959347,0.373468761590775
"3",0.752464730218053,0.00624690697761718,0.376427632798441,0.367470752522349,0.16139982839115,0.376472917601932
"4",0.802079375274479,0.00594220117026241,0.317819888400845,0.372207999054808,0.153605639284942,0.371934144876432
"5",0.806131072975695,0.00625024066400016,0.344649458001368,0.358714880039915,0.155638076774776,0.315853000581264
"6",0.8266192516312,0.00570332784539554,0.370581416895147,0.370018232928123,0.142806619929615,0.337911999924108
"7",0.786696016006172,0.00637594228999922,0.378981851313729,0.37523004047107,0.147389862353448,0.336430648318492
"8",0.865827381014824,0.00552853251191322,0.325593984860461,0.3563732803124,0.156867561566178,0.341675067748874
"9",0.725276614911854,0.00638906103973044,0.381030780524015,0.342283322475851,0.155710980005097,0.373012570349965
"10",0.752964073680341,0.00559405073909089,0.342033541211858,0.348041373025626,0.156075641436037,0.328433145491872
"11",0.770710490345955,0.00645221461703768,0.347095144120976,0.372017603374552,0.164725615696516,0.340051928523462
"12",0.744958731196821,0.00635753597692819,0.336335815687198,0.363839520849288,0.139380373433232,0.325128224228974
"13",0.725416287332773,0.00556127438871656,0.353956413387787,0.319491140418686,0.138146721299272,0.376253772955388
"14",0.832940736413002,0.00553426794403465,0.380072777366731,0.335964704104699,0.144356249871198,0.353474707058631
"15",0.783095727041364,0.00577233882516157,0.371016963601578,0.375876239251811,0.141174874529243,0.345231087394059
"16",0.856188918501139,0.00621545307800639,0.334742862940766,0.326360712449532,0.141758061619475,0.3334706149064
"17",0.760484966263175,0.00574519336042227,0.36601470810594,0.384073936610948,0.14604258164065,0.315078165202867
"18",0.765207232423127,0.00551019593425095,0.335021729695145,0.33846656733891,0.136614509755746,0.37435545131797
"19",0.76548866994679,0.0061762296802178,0.359938925462775,0.340679002979305,0.139754102169536,0.321266295784153
"20",0.73092290841043,0.00657653269089293,0.326010106166359,0.327547340395395,0.158385167105589,0.327777928572614
"21",0.725112370476127,0.0060392763160239,0.338499155789614,0.324658545132261,0.150082306237891,0.362712777846027
"22",0.757374058738351,0.00579174223822541,0.326495457999408,0.362580587356351,0.163644871737342,0.369234435444232
"23",0.879536951929331,0.00566581974652596,0.354562578122131,0.331145836641081,0.150973064959981,0.343722287886776
"24",0.833925513997674,0.00573711180777056,0.384390608249232,0.363635746738873,0.151121469035279,0.355320865504909
"25",0.861300196535885,0.00626847083522705,0.333933054220397,0.357956785692368,0.138726187034044,0.34205775675131
"26",0.785523697175086,0.00619834794883616,0.316426798095927,0.328832306361292,0.159912776914425,0.372353330445476
"27",0.833198597989977,0.00656121163987555,0.381648195427842,0.344348743192386,0.152850774570834,0.336355770973023
"28",0.831316676400602,0.00604466659379192,0.345786882238463,0.363131658607163,0.14723351159133,0.338143135588616
"29",0.779920438714325,0.00657237849486759,0.321527007089462,0.379901543871965,0.155464310925454,0.34187388574006
"30",0.847627855092287,0.0061596286304621,0.349333658325486,0.323958580987528,0.14079648806015,0.332872352197301
"31",0.793894480988383,0.00550086118618492,0.376039664892014,0.348480912712403,0.147370812564623,0.383863681836519
"32",0.767430425882339,0.00602230553337373,0.320489415689372,0.351091355688404,0.153894995846786,0.3306763329776
"33",0.728491678349674,0.00568675204553176,0.380257682511583,0.335860779276118,0.151275106512476,0.322490772472229
"34",0.769491417296231,0.00627896320741856,0.38027888121549,0.369059605062939,0.151126186482143,0.319454869255424
"35",0.754651506543159,0.00643312653322006,0.370076340085361,0.340586631367914,0.153480413930956,0.338656781066675
"36",0.795051570683718,0.00613891397281317,0.363703637330327,0.373000318268314,0.159386644104961,0.340815298906527
"37",0.745512772388756,0.00628068288603565,0.354439172740094,0.378763699990232,0.139110070194583,0.384814048008993
"38",0.821829069815576,0.00640614562043687,0.36285767479334,0.340486393782776,0.139570822406095,0.366390635040589
"39",0.78081757068634,0.00619025817910908,0.367101030112244,0.339445714291651,0.16004503483884,0.35276619336335
"40",0.781014268249273,0.00619395544241183,0.341147627716418,0.342439906806685,0.141169131172355,0.35886314336909
"41",0.817897117473185,0.00618109176853904,0.320404788141605,0.340139066865668,0.155888636454474,0.375404495049734
"42",0.804976098425686,0.00566167783089681,0.383998482848983,0.340160971605219,0.155665141842328,0.383563546133228
"43",0.779014662690461,0.0060151583912503,0.37098163939314,0.363931856523268,0.150314078950323,0.325726163696963
"44",0.834688747152686,0.00660525235508103,0.353241626992822,0.364370054008905,0.149714131022338,0.323415016075596
"45",0.787348539941013,0.00601959746654844,0.331078978129663,0.369456492748577,0.147614021615591,0.356343204237055
"46",0.853089103251696,0.00662759069099091,0.34619897721801,0.333929609509651,0.156341967810877,0.348875111774541
"47",0.832942478321493,0.00604936291338643,0.341969864799175,0.330898409024812,0.155874903935473,0.359742249764968
"48",0.833862228468061,0.00652000225889496,0.358356047871057,0.344054747717455,0.156663340169471,0.367280700162519
"49",0.724642198905349,0.00600586661555571,0.318905493321363,0.326579158736858,0.155075660808943,0.359665963803418
"50",0.827032399848104,0.0062441050183028,0.341009300567675,0.341239052258898,0.14062354704598,0.340726795790251
"51",0.738444935046136,0.00586851486392785,0.327090911804698,0.324483082806692,0.141494834900368,0.320667782751843
"52",0.85580885309726,0.0064064607003564,0.320572873111814,0.315977276072372,0.153484878914896,0.360519636014942
"53",0.853114772997797,0.00609297472638777,0.358094066239428,0.356074710909743,0.149663198848721,0.378222506083548
"54",0.764271648898721,0.0055010543732415,0.344617962504271,0.336250562942587,0.148290933303069,0.356894680350088
"55",0.78875694192946,0.00603754769207211,0.378627347769216,0.319115019764286,0.149787797124591,0.333143781130202
"56",0.811984703950584,0.0055583629594883,0.367831000771839,0.347449620659463,0.148824528604746,0.360121823246591
"57",0.785591108649969,0.00618821986745577,0.333197158304974,0.359394276121166,0.138510995213874,0.354186570283491
"58",0.724662067145109,0.00613934232621687,0.335708195797633,0.320880058887415,0.156822775772307,0.357876246632077
"59",0.844815616756678,0.0054797304231301,0.377051240524743,0.353234834643081,0.160764580350369,0.319362744723912
"60",0.77407072417438,0.00638011578560108,0.363335901370738,0.341685841719154,0.158713538681623,0.368052383642644
"61",0.877762490734458,0.00625147993599763,0.333037048424594,0.337679073924664,0.156470383547712,0.348832021320704
"62",0.748490776978433,0.00545609136901097,0.354390897732228,0.364853146641981,0.158545325151645,0.358696935472544
"63",0.728234310783446,0.00598078013658291,0.371283578583971,0.339484726395458,0.148251610526349,0.34460557713639
"64",0.728665471561253,0.00572194271531655,0.359759592164773,0.380618136574049,0.138462066713255,0.323634366258048
"65",0.724695743918419,0.00602482761769788,0.365740750173572,0.321919217077084,0.152992725768127,0.362822650943417
"66",0.742566132508218,0.00619867859040387,0.362151583018713,0.323460513390601,0.153250116531271,0.338417859338224
"67",0.759201259091496,0.00559930786710698,0.343333850137424,0.329227887799498,0.150487920362502,0.362053554696031
"68",0.829438241049647,0.00549279572144384,0.31896481089294,0.332877937767189,0.15682071828749,0.342092256958131
"69",0.816090497523546,0.00558304062438197,0.341189450337551,0.384825611510314,0.141253588765394,0.375003428503405
"70",0.85079219698906,0.00583384741959395,0.372799832113087,0.36397751157172,0.145931965105701,0.366564235906117
"71",0.817101813666523,0.00561225088349543,0.348054440845735,0.331575511402916,0.144338272518944,0.351717692783568
"72",0.85031537823379,0.00603394051289884,0.319989655562677,0.327995156231336,0.159931528272573,0.328892811220139
"73",0.862654303871095,0.00623022234820062,0.38488622858189,0.373699132921174,0.137809349584859,0.377445797901601
"74",0.84099987976253,0.00593859545605956,0.364039673185907,0.342799257012084,0.154419241324067,0.348195924879983
"75",0.732756017483771,0.00629764101866633,0.363074213578366,0.368753385408781,0.146836037782487,0.357316861990839
"76",0.789465667121112,0.00565423525607912,0.353547103386372,0.373988976622932,0.139592975308187,0.377455680982675
"77",0.740370789244771,0.00589218815553235,0.366580320415087,0.346853014575317,0.149902810882777,0.381278803462628
"78",0.765616474859417,0.00661095027043717,0.33223898742348,0.319133098041639,0.141233292894904,0.35483573702164
"79",0.784668901115656,0.00632404993685195,0.356952457225416,0.370199168301187,0.151274244014639,0.364359333610628
"80",0.776194082349539,0.00575584135360317,0.360364790516905,0.355241559203714,0.141258114469238,0.338762767773587
"81",0.829014646410942,0.00636237826082157,0.378076857563574,0.364503656863235,0.149912869704422,0.343375515074003
"82",0.800211684815586,0.00624081850650255,0.376672472693026,0.340405721811112,0.146257798320148,0.343496602990199
